time(ms);RPM(1/min);IAT2(°C);SHRTFT1(%);SHRTFT2(%);LOAD(%);ECT(°C)
4912;617;41;-3.91;-3.91;25.10;83
4920;618;41;-3.91;-3.91;25.10;83
4933;619;41;-3.91;-3.91;25.10;83
4942;619;41;-3.91;-3.91;25.10;83
4952;620;41;-3.91;-3.91;25.10;83
4961;620;41;-3.91;-3.91;25.10;83
4970;620;41;-3.91;-3.91;25.10;83
4985;621;41;-3.91;-3.91;25.10;83
5001;621;41;-3.91;-3.91;25.10;83
5012;621;41;-3.91;-3.91;25.10;83
5021;620;41;-3.91;-3.91;25.10;83
5031;620;41;-3.91;-3.91;25.10;83
5043;620;41;-3.91;-3.91;25.10;83
5051;619;41;-3.91;-3.91;25.10;83
5062;619;41;-3.91;-3.91;25.10;83
5070;619;41;-3.91;-3.91;25.10;83
5085;619;41;-3.91;-3.91;25.10;83
5102;619;41;-3.91;-3.91;25.10;83
5111;618;41;-3.91;-3.91;25.10;83
5120;618;41;-3.91;-3.91;25.10;83
5132;618;41;-3.91;-3.91;25.10;83
5141;618;41;-3.91;-3.91;25.10;83
5152;617;41;-3.91;-3.91;25.10;83
5161;617;41;-3.91;-3.91;25.10;83
5172;616;41;-3.91;-3.91;25.10;83
5183;616;41;-3.91;-3.91;25.10;83
5192;615;41;-3.91;-3.91;25.10;83
5201;616;41;-3.91;-3.91;25.10;83
5212;617;41;-3.91;-3.91;25.10;83
5221;617;41;-3.91;-3.91;25.10;83
5231;618;41;-3.91;-3.91;25.10;83
5242;619;41;-3.91;-3.91;25.10;83
5250;619;41;-3.91;-3.91;25.10;83
5261;620;41;-3.91;-3.91;25.10;83
5272;620;41;-3.91;-3.91;25.10;83
5282;621;41;-3.91;-3.91;25.10;83
5291;621;41;-3.91;-3.91;25.10;83
5301;622;41;-3.13;-3.91;25.10;83
5312;623;41;-3.13;-3.91;25.10;83
5320;623;41;-3.13;-3.91;25.10;83
5334;623;41;-3.13;-3.91;25.10;83
5352;624;41;-3.13;-3.91;25.10;83
5361;624;41;-3.13;-3.91;25.10;83
5370;625;41;-3.13;-3.91;25.10;83
5384;625;41;-3.13;-3.91;25.10;83
5401;625;41;-3.13;-3.91;25.10;83
5410;624;41;-3.13;-3.91;25.10;83
5422;623;41;-3.13;-3.91;25.10;83
5433;623;41;-3.13;-3.91;25.10;83
5442;622;41;-3.13;-3.91;25.10;83
5451;622;41;-3.13;-3.91;25.10;83
5461;621;41;-3.13;-3.91;24.71;83
5472;620;41;-3.13;-3.91;24.71;83
5485;619;41;-3.13;-3.91;24.71;83
5502;617;41;-3.13;-3.91;24.71;83
